Year,State,Business Activity,Drug,Registrants,Total grams sold,Avg grams/registrant
2000,CALIFORNIA,PHARMACIES,D-AMPHETAMINE BASE,4114.0,167264.5,40.65
2000,CALIFORNIA,PHARMACIES,METHYLPHENIDATE,4315.0,514164.19,119.15
2000,CALIFORNIA,PHARMACIES,OXYCODONE,4299.0,751197.76,174.73
2000,CALIFORNIA,PHARMACIES,HYDROCODONE,5126.0,1697407.11,331.13
2000,CALIFORNIA,HOSPITALS,DL-AMPHETAMINE BASE,156.0,2656.22,17.02
2000,CALIFORNIA,HOSPITALS,D-AMPHETAMINE BASE,263.0,10549.63,40.11
2000,CALIFORNIA,HOSPITALS,METHYLPHENIDATE,415.0,36502.46,87.95
2000,CALIFORNIA,HOSPITALS,OXYCODONE,593.0,82598.86,139.28
2000,CALIFORNIA,HOSPITALS,HYDROCODONE,741.0,133489.67,180.14
2000,CALIFORNIA,PRACTITIONERS,DL-AMPHETAMINE BASE,6.0,54.12,9.02
2000,CALIFORNIA,PRACTITIONERS,D-AMPHETAMINE BASE,30.0,121.86,4.06
2000,CALIFORNIA,PRACTITIONERS,METHYLPHENIDATE,19.0,456.52,24.02
2000,CALIFORNIA,PRACTITIONERS,OXYCODONE,108.0,521.87,4.83
2000,CALIFORNIA,PRACTITIONERS,HYDROCODONE,11337.0,36986.46,3.26
2000,CALIFORNIA,TEACHING INSTITUTIONS,D-AMPHETAMINE BASE,1.0,0.07,0.07
2000,CALIFORNIA,TEACHING INSTITUTIONS,HYDROCODONE,3.0,24.79,8.26
2000,CALIFORNIA,MID-LEVEL PRACTITIONERS,HYDROCODONE,8.0,28.03,3.5
2000,COLORADO,PHARMACIES,DL-AMPHETAMINE BASE,648.0,9397.51,14.5
2000,COLORADO,PHARMACIES,D-AMPHETAMINE BASE,679.0,25701.29,37.85
2000,COLORADO,PHARMACIES,METHYLPHENIDATE,689.0,95509.6,138.62
2000,COLORADO,PHARMACIES,OXYCODONE,697.0,170429.95,244.51
2000,COLORADO,PHARMACIES,HYDROCODONE,715.0,146762.44,205.26
2000,COLORADO,HOSPITALS,DL-AMPHETAMINE BASE,46.0,745.42,16.2
2000,COLORADO,HOSPITALS,D-AMPHETAMINE BASE,65.0,3025.52,46.54
2000,COLORADO,HOSPITALS,METHYLPHENIDATE,96.0,14023.93,146.08
2000,COLORADO,HOSPITALS,OXYCODONE,130.0,25745.51,198.04
2000,COLORADO,HOSPITALS,HYDROCODONE,139.0,12513.45,90.02
2000,COLORADO,PRACTITIONERS,DL-AMPHETAMINE BASE,3.0,10.56,3.52
2000,COLORADO,PRACTITIONERS,D-AMPHETAMINE BASE,4.0,27.53,6.88
2000,COLORADO,PRACTITIONERS,METHYLPHENIDATE,5.0,412.41,82.48
2000,COLORADO,PRACTITIONERS,OXYCODONE,47.0,336.95,7.16
2000,COLORADO,PRACTITIONERS,HYDROCODONE,1555.0,2532.77,1.62
2000,COLORADO,MID-LEVEL PRACTITIONERS,HYDROCODONE,80.0,65.23,0.81
2000,CONNECTICUT,PHARMACIES,DL-AMPHETAMINE BASE,591.0,12523.99,21.19
2000,CONNECTICUT,PHARMACIES,D-AMPHETAMINE BASE,610.0,30777.48,50.45
2000,CONNECTICUT,PHARMACIES,METHYLPHENIDATE,623.0,108752.38,174.56
2000,CONNECTICUT,PHARMACIES,OXYCODONE,628.0,321331.35,511.67
2000,CONNECTICUT,PHARMACIES,HYDROCODONE,630.0,96663.26,153.43
2000,CONNECTICUT,HOSPITALS,DL-AMPHETAMINE BASE,25.0,500.36,20.01
2000,CONNECTICUT,HOSPITALS,D-AMPHETAMINE BASE,39.0,1120.67,28.73
2000,CONNECTICUT,HOSPITALS,METHYLPHENIDATE,58.0,3579.98,61.72
2000,CONNECTICUT,HOSPITALS,OXYCODONE,62.0,17273.35,278.6
2000,CONNECTICUT,HOSPITALS,HYDROCODONE,53.0,1372.96,25.9
2000,CONNECTICUT,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,1.87,1.87
2000,CONNECTICUT,PRACTITIONERS,D-AMPHETAMINE BASE,2.0,2.04,1.02
2000,CONNECTICUT,PRACTITIONERS,METHYLPHENIDATE,2.0,143.08,71.54
2000,CONNECTICUT,PRACTITIONERS,OXYCODONE,33.0,157.94,4.78
2000,CONNECTICUT,PRACTITIONERS,HYDROCODONE,1093.0,1069.93,0.97
2000,CONNECTICUT,TEACHING INSTITUTIONS,D-AMPHETAMINE BASE,1.0,3.66,3.66
2000,CONNECTICUT,MID-LEVEL PRACTITIONERS,OXYCODONE,1.0,0.44,0.44
2000,CONNECTICUT,MID-LEVEL PRACTITIONERS,HYDROCODONE,38.0,4.07,0.1
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,DL-AMPHETAMINE BASE,96.0,1369.91,14.26
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,D-AMPHETAMINE BASE,98.0,3819.2,38.97
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,METHYLPHENIDATE,99.0,12566.24,126.93
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,OXYCODONE,101.0,24209.01,239.69
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,HYDROCODONE,109.0,6568.91,60.26
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,DL-AMPHETAMINE BASE,10.0,68.2,6.82
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,D-AMPHETAMINE BASE,15.0,214.86,14.32
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,METHYLPHENIDATE,20.0,1024.9,51.24
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,OXYCODONE,25.0,7747.19,309.88
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,HYDROCODONE,17.0,379.63,22.33
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,METHYLPHENIDATE,3.0,25.05,8.35
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,OXYCODONE,4.0,7.34,1.83
2000,DISTRICT OF COLUMBIA,MID-LEVEL PRACTITIONERS,HYDROCODONE,232.0,459.81,1.98
2000,DELAWARE,PHARMACIES,DL-AMPHETAMINE BASE,141.0,9515.99,67.48
2000,DELAWARE,PHARMACIES,D-AMPHETAMINE BASE,141.0,13486.67,95.65
2000,DELAWARE,PHARMACIES,METHYLPHENIDATE,141.0,33601.5,238.3
2000,DELAWARE,PHARMACIES,OXYCODONE,142.0,73090.3,514.72
2000,DELAWARE,PHARMACIES,HYDROCODONE,143.0,21345.01,149.26
2000,DELAWARE,HOSPITALS,DL-AMPHETAMINE BASE,9.0,175.36,19.48
2000,DELAWARE,HOSPITALS,D-AMPHETAMINE BASE,9.0,244.11,27.12
2000,DELAWARE,HOSPITALS,METHYLPHENIDATE,16.0,875.57,54.72
2000,DELAWARE,HOSPITALS,OXYCODONE,21.0,6579.19,313.29
2000,DELAWARE,HOSPITALS,HYDROCODONE,16.0,614.65,38.41
2000,DELAWARE,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,0.64,0.64
2000,DELAWARE,PRACTITIONERS,D-AMPHETAMINE BASE,1.0,0.69,0.69
2000,DELAWARE,PRACTITIONERS,METHYLPHENIDATE,3.0,233.66,77.88
2000,DELAWARE,PRACTITIONERS,OXYCODONE,4.0,2.27,0.56
2000,DELAWARE,PRACTITIONERS,HYDROCODONE,140.0,217.63,1.55
2000,DELAWARE,MID-LEVEL PRACTITIONERS,HYDROCODONE,5.0,2.27,0.45
2000,FLORIDA,PHARMACIES,DL-AMPHETAMINE BASE,2946.0,77207.15,26.2
2000,FLORIDA,PHARMACIES,D-AMPHETAMINE BASE,2984.0,130916.25,43.87
2000,FLORIDA,PHARMACIES,METHYLPHENIDATE,3084.0,389446.36,126.27
2000,FLORIDA,PHARMACIES,OXYCODONE,3206.0,1476974.16,460.69
2000,FLORIDA,PHARMACIES,HYDROCODONE,3416.0,940837.42,275.42
2000,FLORIDA,HOSPITALS,DL-AMPHETAMINE BASE,96.0,1415.76,14.74
2000,FLORIDA,HOSPITALS,D-AMPHETAMINE BASE,128.0,3258.24,25.45
2000,FLORIDA,HOSPITALS,METHYLPHENIDATE,232.0,14186.76,61.14
2000,FLORIDA,HOSPITALS,OXYCODONE,390.0,89534.52,229.57
2000,FLORIDA,HOSPITALS,HYDROCODONE,366.0,18593.9,50.8
2000,FLORIDA,PRACTITIONERS,DL-AMPHETAMINE BASE,7.0,120.1,17.15
2000,FLORIDA,PRACTITIONERS,D-AMPHETAMINE BASE,10.0,139.23,13.92
2000,FLORIDA,PRACTITIONERS,METHYLPHENIDATE,13.0,555.23,42.71
2000,FLORIDA,PRACTITIONERS,OXYCODONE,65.0,2671.78,41.1
2000,FLORIDA,PRACTITIONERS,HYDROCODONE,7001.0,23606.9,3.37
2000,FLORIDA,TEACHING INSTITUTIONS,HYDROCODONE,2.0,0.9,0.45
2000,GEORGIA,PHARMACIES,DL-AMPHETAMINE BASE,1779.0,44756.46,25.15
2000,GEORGIA,PHARMACIES,D-AMPHETAMINE BASE,1800.0,72782.74,40.43
2000,GEORGIA,PHARMACIES,METHYLPHENIDATE,1864.0,266529.94,142.98
2000,GEORGIA,PHARMACIES,OXYCODONE,1870.0,397918.75,212.79
2000,GEORGIA,PHARMACIES,HYDROCODONE,1909.0,457183.69,239.48
2000,GEORGIA,HOSPITALS,DL-AMPHETAMINE BASE,68.0,1499.76,22.05
2000,GEORGIA,HOSPITALS,D-AMPHETAMINE BASE,79.0,3014.71,38.16
2000,GEORGIA,HOSPITALS,METHYLPHENIDATE,146.0,12996.18,89.01
2000,GEORGIA,HOSPITALS,OXYCODONE,209.0,38526.73,184.33
2000,GEORGIA,HOSPITALS,HYDROCODONE,212.0,11074.4,52.23
2000,GEORGIA,PRACTITIONERS,DL-AMPHETAMINE BASE,3.0,3.51,1.17
2000,GEORGIA,PRACTITIONERS,D-AMPHETAMINE BASE,5.0,16.29,3.25
2000,GEORGIA,PRACTITIONERS,METHYLPHENIDATE,5.0,282.96,56.59
2000,GEORGIA,PRACTITIONERS,OXYCODONE,37.0,195.65,5.28
2000,GEORGIA,PRACTITIONERS,HYDROCODONE,3806.0,7272.49,1.91
2000,GEORGIA,MID-LEVEL PRACTITIONERS,HYDROCODONE,1.0,0.18,0.18
2000,HAWAII,PHARMACIES,DL-AMPHETAMINE BASE,99.0,601.03,6.07
2000,HAWAII,PHARMACIES,D-AMPHETAMINE BASE,136.0,3144.13,23.11
2000,HAWAII,PHARMACIES,METHYLPHENIDATE,147.0,11701.62,79.6
2000,HAWAII,PHARMACIES,OXYCODONE,159.0,47340.95,297.74
2000,HAWAII,PHARMACIES,HYDROCODONE,167.0,29749.35,178.13
2000,HAWAII,HOSPITALS,DL-AMPHETAMINE BASE,11.0,181.31,16.48
2000,HAWAII,HOSPITALS,D-AMPHETAMINE BASE,15.0,979.62,65.3
2000,HAWAII,HOSPITALS,METHYLPHENIDATE,26.0,3625.69,139.44
2000,HAWAII,HOSPITALS,OXYCODONE,40.0,9573.54,239.33
2000,HAWAII,HOSPITALS,HYDROCODONE,38.0,2108.61,55.48
2000,HAWAII,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,9.09,9.09
2000,HAWAII,PRACTITIONERS,D-AMPHETAMINE BASE,1.0,9.78,9.78
2000,HAWAII,PRACTITIONERS,OXYCODONE,4.0,15.26,3.81
2000,HAWAII,PRACTITIONERS,HYDROCODONE,203.0,825.7,4.06
2000,IOWA,PHARMACIES,DL-AMPHETAMINE BASE,734.0,12921.1,17.6
2000,IOWA,PHARMACIES,D-AMPHETAMINE BASE,754.0,28834.8,38.24
2000,IOWA,PHARMACIES,METHYLPHENIDATE,789.0,127011.34,160.97
2000,IOWA,PHARMACIES,OXYCODONE,791.0,67583.2,85.44
2000,IOWA,PHARMACIES,HYDROCODONE,809.0,77298.28,95.54
2000,IOWA,HOSPITALS,DL-AMPHETAMINE BASE,32.0,154.11,4.81
2000,IOWA,HOSPITALS,D-AMPHETAMINE BASE,45.0,730.16,16.22
2000,IOWA,HOSPITALS,METHYLPHENIDATE,76.0,3581.01,47.11
2000,IOWA,HOSPITALS,OXYCODONE,127.0,10722.8,84.43
2000,IOWA,HOSPITALS,HYDROCODONE,134.0,4758.36,35.51
2000,IOWA,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,0.9,0.9
2000,IOWA,PRACTITIONERS,D-AMPHETAMINE BASE,1.0,0.97,0.97
2000,IOWA,PRACTITIONERS,METHYLPHENIDATE,2.0,8.8,4.4
2000,IOWA,PRACTITIONERS,OXYCODONE,10.0,4.78,0.47
2000,IOWA,PRACTITIONERS,HYDROCODONE,624.0,846.34,1.35
2000,IOWA,MID-LEVEL PRACTITIONERS,HYDROCODONE,98.0,51.65,0.52
2000,IDAHO,PHARMACIES,DL-AMPHETAMINE BASE,250.0,4454.15,17.81
2000,IDAHO,PHARMACIES,D-AMPHETAMINE BASE,258.0,9127.43,35.37
2000,IDAHO,PHARMACIES,METHYLPHENIDATE,268.0,39824.14,148.59
2000,IDAHO,PHARMACIES,OXYCODONE,267.0,38338.24,143.58
2000,IDAHO,PHARMACIES,HYDROCODONE,275.0,73807.34,268.39
2000,IDAHO,HOSPITALS,DL-AMPHETAMINE BASE,18.0,79.82,4.43
2000,IDAHO,HOSPITALS,D-AMPHETAMINE BASE,21.0,202.59,9.64
2000,IDAHO,HOSPITALS,METHYLPHENIDATE,33.0,1990.5,60.31
2000,IDAHO,HOSPITALS,OXYCODONE,58.0,5446.78,93.91
2000,IDAHO,HOSPITALS,HYDROCODONE,60.0,5876.94,97.94
2000,IDAHO,PRACTITIONERS,METHYLPHENIDATE,1.0,87.16,87.16
2000,IDAHO,PRACTITIONERS,OXYCODONE,7.0,4.7,0.67
2000,IDAHO,PRACTITIONERS,HYDROCODONE,489.0,1097.27,2.24
2000,IDAHO,MID-LEVEL PRACTITIONERS,HYDROCODONE,18.0,8.65,0.48
2000,ILLINOIS,PHARMACIES,DL-AMPHETAMINE BASE,1921.0,39064.33,20.33
2000,ILLINOIS,PHARMACIES,D-AMPHETAMINE BASE,1963.0,66663.99,33.96
2000,ILLINOIS,PHARMACIES,METHYLPHENIDATE,2094.0,373800.09,178.51
2000,ILLINOIS,PHARMACIES,OXYCODONE,1960.0,180815.05,92.25
2000,ILLINOIS,PHARMACIES,HYDROCODONE,2300.0,412978.66,179.55
2000,ILLINOIS,HOSPITALS,DL-AMPHETAMINE BASE,64.0,355.78,5.55
2000,ILLINOIS,HOSPITALS,D-AMPHETAMINE BASE,91.0,959.24,10.54
2000,ILLINOIS,HOSPITALS,METHYLPHENIDATE,197.0,7563.11,38.39
2000,ILLINOIS,HOSPITALS,OXYCODONE,212.0,12891.61,60.8
2000,ILLINOIS,HOSPITALS,HYDROCODONE,254.0,17968.07,70.74
2000,ILLINOIS,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,29.3,29.3
2000,ILLINOIS,PRACTITIONERS,D-AMPHETAMINE BASE,10.0,72.86,7.28
2000,ILLINOIS,PRACTITIONERS,METHYLPHENIDATE,12.0,324.11,27.0
2000,ILLINOIS,PRACTITIONERS,OXYCODONE,24.0,98.37,4.09
2000,ILLINOIS,PRACTITIONERS,HYDROCODONE,4101.0,6359.9,1.55
2000,ILLINOIS,TEACHING INSTITUTIONS,OXYCODONE,1.0,0.26,0.26
2000,ILLINOIS,TEACHING INSTITUTIONS,HYDROCODONE,1.0,4.2,4.2
2000,ILLINOIS,MID-LEVEL PRACTITIONERS,HYDROCODONE,1.0,0.5,0.5
2000,INDIANA,PHARMACIES,DL-AMPHETAMINE BASE,1121.0,36960.24,32.97
2000,INDIANA,PHARMACIES,D-AMPHETAMINE BASE,1129.0,59210.57,52.44
2000,INDIANA,PHARMACIES,METHYLPHENIDATE,1137.0,205182.24,180.45
2000,INDIANA,PHARMACIES,OXYCODONE,1139.0,272242.33,239.01
2000,INDIANA,PHARMACIES,HYDROCODONE,1172.0,393590.13,335.82
2000,INDIANA,HOSPITALS,DL-AMPHETAMINE BASE,64.0,778.62,12.16
2000,INDIANA,HOSPITALS,D-AMPHETAMINE BASE,84.0,1260.13,15.0
2000,INDIANA,HOSPITALS,METHYLPHENIDATE,127.0,4581.66,36.07
2000,INDIANA,HOSPITALS,OXYCODONE,172.0,26907.35,156.43
2000,INDIANA,HOSPITALS,HYDROCODONE,203.0,18131.36,89.31
2000,INDIANA,PRACTITIONERS,DL-AMPHETAMINE BASE,4.0,10.5,2.62
2000,INDIANA,PRACTITIONERS,D-AMPHETAMINE BASE,5.0,14.6,2.92
2000,INDIANA,PRACTITIONERS,METHYLPHENIDATE,6.0,511.54,85.25
2000,INDIANA,PRACTITIONERS,OXYCODONE,14.0,120.17,8.58
2000,INDIANA,PRACTITIONERS,HYDROCODONE,2823.0,6270.98,2.22
2000,INDIANA,MID-LEVEL PRACTITIONERS,HYDROCODONE,142.0,111.26,0.78
2000,KANSAS,PHARMACIES,DL-AMPHETAMINE BASE,557.0,13843.96,24.85
2000,KANSAS,PHARMACIES,D-AMPHETAMINE BASE,576.0,27475.07,47.69
2000,KANSAS,PHARMACIES,METHYLPHENIDATE,591.0,79753.51,134.94
2000,KANSAS,PHARMACIES,OXYCODONE,598.0,85454.6,142.9
2000,KANSAS,PHARMACIES,HYDROCODONE,607.0,105227.72,173.35
2000,KANSAS,HOSPITALS,DL-AMPHETAMINE BASE,34.0,529.26,15.56
2000,KANSAS,HOSPITALS,D-AMPHETAMINE BASE,41.0,962.65,23.47
2000,KANSAS,HOSPITALS,METHYLPHENIDATE,70.0,3585.59,51.22
2000,KANSAS,HOSPITALS,OXYCODONE,139.0,11596.61,83.42
2000,KANSAS,HOSPITALS,HYDROCODONE,163.0,7951.1,48.77
2000,KANSAS,PRACTITIONERS,DL-AMPHETAMINE BASE,1.0,2.64,2.64
2000,KANSAS,PRACTITIONERS,D-AMPHETAMINE BASE,1.0,8.0,8.0
2000,KANSAS,PRACTITIONERS,METHYLPHENIDATE,3.0,231.65,77.21
2000,KANSAS,PRACTITIONERS,OXYCODONE,14.0,3.85,0.27
2000,KANSAS,PRACTITIONERS,HYDROCODONE,157.0,394.42,2.51
2000,KANSAS,MID-LEVEL PRACTITIONERS,HYDROCODONE,8.0,0.29,0.03
2000,KENTUCKY,PHARMACIES,DL-AMPHETAMINE BASE,953.0,20700.54,21.72
2000,KENTUCKY,PHARMACIES,D-AMPHETAMINE BASE,969.0,36176.68,37.33
2000,KENTUCKY,PHARMACIES,METHYLPHENIDATE,987.0,104021.53,105.39
2000,KENTUCKY,PHARMACIES,OXYCODONE,1018.0,301857.96,296.52
2000,KENTUCKY,PHARMACIES,HYDROCODONE,1031.0,378856.72,367.46
2000,KENTUCKY,HOSPITALS,DL-AMPHETAMINE BASE,34.0,696.86,20.49
2000,KENTUCKY,HOSPITALS,D-AMPHETAMINE BASE,41.0,1402.69,34.21
2000,KENTUCKY,HOSPITALS,METHYLPHENIDATE,84.0,3863.64,45.99
2000,KENTUCKY,HOSPITALS,OXYCODONE,132.0,25169.02,190.67
2000,KENTUCKY,HOSPITALS,HYDROCODONE,135.0,13317.35,98.64
2000,KENTUCKY,PRACTITIONERS,D-AMPHETAMINE BASE,1.0,19.8,19.8
2000,KENTUCKY,PRACTITIONERS,METHYLPHENIDATE,1.0,7.47,7.47
2000,KENTUCKY,PRACTITIONERS,OXYCODONE,5.0,1.44,0.28
2000,KENTUCKY,PRACTITIONERS,HYDROCODONE,204.0,686.76,3.36
2000,KENTUCKY,MID-LEVEL PRACTITIONERS,HYDROCODONE,1.0,0.9,0.9
2000,LOUISIANA,PHARMACIES,DL-AMPHETAMINE BASE,1037.0,27115.3,26.14
2000,LOUISIANA,PHARMACIES,D-AMPHETAMINE BASE,1052.0,48410.47,46.01
2000,LOUISIANA,PHARMACIES,METHYLPHENIDATE,1092.0,122421.66,112.1
2000,LOUISIANA,PHARMACIES,OXYCODONE,1105.0,207497.51,187.78
2000,LOUISIANA,PHARMACIES,HYDROCODONE,1142.0,367171.23,321.51
2000,LOUISIANA,HOSPITALS,DL-AMPHETAMINE BASE,48.0,316.26,6.58
2000,LOUISIANA,HOSPITALS,D-AMPHETAMINE BASE,67.0,605.14,9.03
2000,LOUISIANA,HOSPITALS,METHYLPHENIDATE,141.0,2974.56,21.09
2000,LOUISIANA,HOSPITALS,OXYCODONE,175.0,23079.97,131.88
2000,LOUISIANA,HOSPITALS,HYDROCODONE,187.0,6255.37,33.45
2000,LOUISIANA,PRACTITIONERS,DL-AMPHETAMINE BASE,2.0,4.48,2.24
2000,LOUISIANA,PRACTITIONERS,D-AMPHETAMINE BASE,4.0,8.49,2.12
2000,LOUISIANA,PRACTITIONERS,METHYLPHENIDATE,5.0,111.33,22.26
2000,LOUISIANA,PRACTITIONERS,OXYCODONE,16.0,59.1,3.69
2000,LOUISIANA,PRACTITIONERS,HYDROCODONE,2874.0,6190.33,2.15
2000,LOUISIANA,TEACHING INSTITUTIONS,DL-AMPHETAMINE BASE,1.0,1.63,1.63
2000,LOUISIANA,TEACHING INSTITUTIONS,D-AMPHETAMINE BASE,1.0,1.77,1.77
2000,LOUISIANA,TEACHING INSTITUTIONS,METHYLPHENIDATE,1.0,1.72,1.72
2000,LOUISIANA,TEACHING INSTITUTIONS,OXYCODONE,1.0,2.65,2.65
2000,LOUISIANA,TEACHING INSTITUTIONS,HYDROCODONE,2.0,4.38,2.19
2000,MASSACHUSETTS,PHARMACIES,DL-AMPHETAMINE BASE,990.0,31835.12,32.15
2000,MASSACHUSETTS,PHARMACIES,D-AMPHETAMINE BASE,1005.0,61744.52,61.43
2000,MASSACHUSETTS,PHARMACIES,METHYLPHENIDATE,1013.0,250281.09,247.06
2000,MASSACHUSETTS,PHARMACIES,OXYCODONE,1022.0,491734.96,481.14
2000,MASSACHUSETTS,PHARMACIES,HYDROCODONE,1028.0,137761.38,134.0
2000,MASSACHUSETTS,HOSPITALS,DL-AMPHETAMINE BASE,101.0,1487.61,14.72
2000,MASSACHUSETTS,HOSPITALS,D-AMPHETAMINE BASE,141.0,5237.07,37.14
2000,MASSACHUSETTS,HOSPITALS,METHYLPHENIDATE,195.0,27642.47,141.75
