Year,State,Drug,Q1,Q2,Q3,Q4,TOTAL TO DATE
2000,OKLAHOMA,DL-AMPHETAMINE BASE,138.69,116.78,129.25,133.66,518.4
2000,OREGON,DL-AMPHETAMINE BASE,109.91,104.71,108.24,115.7,438.57
2000,PENNSYLVANIA,DL-AMPHETAMINE BASE,138.18,128.0,130.17,130.39,526.76
2000,PUERTO RICO,DL-AMPHETAMINE BASE,9.85,6.44,8.35,12.03,36.69
2000,RHODE ISLAND,DL-AMPHETAMINE BASE,172.11,187.86,177.44,213.89,751.32
2000,SOUTH CAROLINA,DL-AMPHETAMINE BASE,246.2,223.14,236.25,254.04,959.65
2000,SOUTH DAKOTA,DL-AMPHETAMINE BASE,139.17,94.35,137.46,154.76,525.76
2000,TENNESSEE,DL-AMPHETAMINE BASE,141.7,129.59,139.04,162.16,572.51
2000,GUAM,DL-AMPHETAMINE BASE,10.49,4.85,6.95,7.14,29.44
2000,TEXAS,DL-AMPHETAMINE BASE,164.14,142.71,156.71,166.66,630.24
2000,UTAH,DL-AMPHETAMINE BASE,118.98,118.88,104.97,119.8,462.64
2000,VIRGINIA,DL-AMPHETAMINE BASE,159.08,157.45,155.29,176.12,647.95
2000,VIRGIN ISLANDS,DL-AMPHETAMINE BASE,5.16,4.79,8.67,11.13,29.76
2000,VERMONT,DL-AMPHETAMINE BASE,70.57,86.62,84.31,101.1,342.62
2000,WASHINGTON,DL-AMPHETAMINE BASE,120.82,115.52,117.9,117.46,471.71
2000,WISCONSIN,DL-AMPHETAMINE BASE,153.72,148.74,145.88,175.35,623.69
2000,WEST VIRGINIA,DL-AMPHETAMINE BASE,116.66,110.7,107.86,115.57,450.8
2000,WYOMING,DL-AMPHETAMINE BASE,84.87,74.59,80.45,81.18,321.09
2000,UNITED STATES,DL-AMPHETAMINE BASE,116.46,109.7,113.68,125.87,465.72
2000,ALASKA,D-AMPHETAMINE BASE,371.63,355.21,335.0,357.73,1419.59
2000,ALABAMA,D-AMPHETAMINE BASE,287.51,251.6,274.83,297.93,1111.88
2000,ARKANSAS,D-AMPHETAMINE BASE,292.45,265.55,266.51,293.22,1117.75
2000,ARIZONA,D-AMPHETAMINE BASE,272.39,273.59,248.33,262.66,1056.99
2000,CALIFORNIA,D-AMPHETAMINE BASE,145.24,141.87,125.69,135.8,548.63
2000,COLORADO,D-AMPHETAMINE BASE,191.23,159.79,164.83,180.87,696.74
2000,CONNECTICUT,D-AMPHETAMINE BASE,244.88,245.9,231.26,249.24,971.3
2000,DISTRICT OF COLUMBIA,D-AMPHETAMINE BASE,189.39,196.96,183.48,195.08,764.93
2000,DELAWARE,D-AMPHETAMINE BASE,469.91,481.36,425.23,423.33,1799.83
2000,FLORIDA,D-AMPHETAMINE BASE,233.53,212.78,216.68,225.08,888.1
2000,GEORGIA,D-AMPHETAMINE BASE,257.21,218.7,237.5,257.1,970.52
2000,HAWAII,D-AMPHETAMINE BASE,90.56,75.51,68.34,95.99,330.41
2000,IOWA,D-AMPHETAMINE BASE,259.16,239.41,247.76,274.89,1021.24
2000,IDAHO,D-AMPHETAMINE BASE,188.13,185.07,171.78,159.03,704.02
2000,ILLINOIS,D-AMPHETAMINE BASE,140.02,133.39,138.18,151.08,562.69
2000,INDIANA,D-AMPHETAMINE BASE,255.16,239.01,245.29,264.71,1004.17
2000,KANSAS,D-AMPHETAMINE BASE,268.19,251.18,261.03,289.16,1069.58
2000,KENTUCKY,D-AMPHETAMINE BASE,242.64,219.22,226.46,255.52,943.86
2000,LOUISIANA,D-AMPHETAMINE BASE,287.9,259.77,266.2,295.45,1109.34
2000,MASSACHUSETTS,D-AMPHETAMINE BASE,269.65,272.72,252.42,287.29,1082.1
2000,MARYLAND,D-AMPHETAMINE BASE,303.17,288.11,274.68,274.72,1140.69
2000,MAINE,D-AMPHETAMINE BASE,260.87,271.38,257.65,276.48,1066.4
2000,MICHIGAN,D-AMPHETAMINE BASE,191.27,185.01,175.68,187.06,739.04
2000,MINNESOTA,D-AMPHETAMINE BASE,302.67,268.45,270.87,303.57,1145.58
2000,MISSOURI,D-AMPHETAMINE BASE,314.78,284.23,298.38,328.85,1226.25
2000,MISSISSIPPI,D-AMPHETAMINE BASE,198.87,157.39,176.82,202.24,735.34
2000,MONTANA,D-AMPHETAMINE BASE,327.4,331.04,299.99,271.53,1229.98
2000,NEBRASKA,D-AMPHETAMINE BASE,222.76,202.59,199.7,228.01,853.07
2000,NORTH CAROLINA,D-AMPHETAMINE BASE,289.63,271.07,291.04,287.06,1138.82
2000,NORTH DAKOTA,D-AMPHETAMINE BASE,251.85,198.68,208.0,239.13,897.67
2000,NEW HAMPSHIRE,D-AMPHETAMINE BASE,287.67,294.54,276.96,315.01,1174.2
2000,NEW JERSEY,D-AMPHETAMINE BASE,141.34,146.02,136.86,144.3,568.53
2000,NEW MEXICO,D-AMPHETAMINE BASE,222.64,209.76,224.78,229.74,886.93
2000,NEVADA,D-AMPHETAMINE BASE,230.55,211.18,198.74,201.66,842.15
2000,NEW YORK,D-AMPHETAMINE BASE,121.56,130.09,124.57,132.49,508.72
2000,OHIO,D-AMPHETAMINE BASE,237.74,214.23,223.54,253.77,929.3
2000,OKLAHOMA,D-AMPHETAMINE BASE,237.53,197.72,215.48,219.22,869.97
2000,OREGON,D-AMPHETAMINE BASE,286.9,258.87,255.82,265.76,1067.36
2000,PENNSYLVANIA,D-AMPHETAMINE BASE,261.81,245.29,240.66,231.12,978.89
2000,PUERTO RICO,D-AMPHETAMINE BASE,23.83,17.1,20.13,29.64,90.71
2000,RHODE ISLAND,D-AMPHETAMINE BASE,420.38,438.02,405.13,456.62,1720.17
2000,SOUTH CAROLINA,D-AMPHETAMINE BASE,344.35,306.24,321.87,340.14,1312.62
2000,SOUTH DAKOTA,D-AMPHETAMINE BASE,343.91,232.6,306.3,295.39,1178.22
2000,TENNESSEE,D-AMPHETAMINE BASE,257.03,233.47,239.08,269.67,999.28
2000,GUAM,D-AMPHETAMINE BASE,13.87,8.27,8.44,9.13,39.72
2000,TEXAS,D-AMPHETAMINE BASE,252.51,221.81,231.48,247.29,953.1
2000,UTAH,D-AMPHETAMINE BASE,350.77,333.75,295.57,316.2,1296.3
2000,VIRGINIA,D-AMPHETAMINE BASE,283.86,274.22,266.57,289.92,1114.59
2000,VIRGIN ISLANDS,D-AMPHETAMINE BASE,13.25,8.27,15.19,13.57,50.29
2000,VERMONT,D-AMPHETAMINE BASE,219.43,227.66,222.79,240.61,910.51
2000,WASHINGTON,D-AMPHETAMINE BASE,305.62,273.88,275.41,262.36,1117.29
2000,WISCONSIN,D-AMPHETAMINE BASE,376.95,352.51,327.64,371.26,1428.38
2000,WEST VIRGINIA,D-AMPHETAMINE BASE,262.08,237.04,234.54,237.1,970.77
2000,WYOMING,D-AMPHETAMINE BASE,217.86,178.24,194.35,183.11,773.57
2000,UNITED STATES,D-AMPHETAMINE BASE,228.5,212.73,211.62,225.97,878.83
2000,ALASKA,METHYLPHENIDATE,714.24,587.85,600.14,747.58,2649.83
2000,ALABAMA,METHYLPHENIDATE,795.85,608.17,760.44,820.47,2984.94
2000,ARKANSAS,METHYLPHENIDATE,801.04,625.08,698.37,827.86,2952.36
2000,ARIZONA,METHYLPHENIDATE,768.25,677.89,648.4,697.01,2791.56
2000,CALIFORNIA,METHYLPHENIDATE,481.33,430.94,388.0,398.99,1699.28
2000,COLORADO,METHYLPHENIDATE,775.96,579.15,621.69,687.27,2664.08
2000,CONNECTICUT,METHYLPHENIDATE,893.57,798.82,786.65,945.23,3424.28
2000,DISTRICT OF COLUMBIA,METHYLPHENIDATE,612.49,605.34,622.51,741.51,2581.87
2000,DELAWARE,METHYLPHENIDATE,1171.61,1037.34,1091.85,1248.85,4549.67
2000,FLORIDA,METHYLPHENIDATE,734.19,583.5,658.33,696.5,2672.54
2000,GEORGIA,METHYLPHENIDATE,985.39,748.29,890.82,957.43,3581.95
2000,HAWAII,METHYLPHENIDATE,357.78,272.88,254.8,339.72,1225.2
2000,IOWA,METHYLPHENIDATE,1186.27,1011.93,1055.13,1257.76,4511.11
2000,IDAHO,METHYLPHENIDATE,877.24,782.21,735.65,766.71,3161.83
2000,ILLINOIS,METHYLPHENIDATE,875.71,732.36,741.32,823.19,3172.59
2000,INDIANA,METHYLPHENIDATE,944.63,770.78,836.41,939.15,3490.99
2000,KANSAS,METHYLPHENIDATE,843.25,691.29,747.47,860.29,3142.32
2000,KENTUCKY,METHYLPHENIDATE,724.76,602.86,632.52,748.31,2708.47
2000,LOUISIANA,METHYLPHENIDATE,763.76,590.23,710.47,775.51,2839.98
2000,MASSACHUSETTS,METHYLPHENIDATE,1152.81,1073.79,1029.28,1236.76,4492.65
2000,MARYLAND,METHYLPHENIDATE,962.6,864.44,905.11,905.64,3637.81
2000,MAINE,METHYLPHENIDATE,945.61,899.59,919.54,1002.18,3766.93
2000,MICHIGAN,METHYLPHENIDATE,1272.26,1104.51,1165.91,1236.18,4778.87
2000,MINNESOTA,METHYLPHENIDATE,1028.6,844.72,861.23,999.38,3733.95
2000,MISSOURI,METHYLPHENIDATE,924.01,751.1,786.41,979.37,3440.91
2000,MISSISSIPPI,METHYLPHENIDATE,484.66,345.73,436.9,538.29,1805.6
2000,MONTANA,METHYLPHENIDATE,1030.96,906.58,840.27,816.11,3593.94
2000,NEBRASKA,METHYLPHENIDATE,831.12,685.23,709.28,801.81,3027.45
2000,NORTH CAROLINA,METHYLPHENIDATE,892.44,730.18,840.8,942.19,3405.62
2000,NORTH DAKOTA,METHYLPHENIDATE,989.65,649.91,784.64,923.74,3347.96
2000,NEW HAMPSHIRE,METHYLPHENIDATE,1374.14,1331.53,1263.82,1506.48,5475.99
2000,NEW JERSEY,METHYLPHENIDATE,571.98,517.05,502.9,555.7,2147.65
2000,NEW MEXICO,METHYLPHENIDATE,676.06,578.25,636.09,682.3,2572.71
2000,NEVADA,METHYLPHENIDATE,671.07,514.19,487.12,554.72,2227.11
2000,NEW YORK,METHYLPHENIDATE,611.97,576.61,562.73,630.02,2381.35
2000,OHIO,METHYLPHENIDATE,1071.41,874.6,931.09,1046.05,3923.15
2000,OKLAHOMA,METHYLPHENIDATE,708.2,518.9,599.51,622.15,2448.78
2000,OREGON,METHYLPHENIDATE,806.03,688.87,696.11,690.43,2881.46
2000,PENNSYLVANIA,METHYLPHENIDATE,1052.5,876.66,904.44,855.79,3689.4
2000,PUERTO RICO,METHYLPHENIDATE,135.08,111.88,104.8,148.84,500.61
2000,RHODE ISLAND,METHYLPHENIDATE,1000.83,935.66,954.29,1132.89,4023.67
2000,SOUTH CAROLINA,METHYLPHENIDATE,954.25,748.44,885.38,998.54,3586.63
2000,SOUTH DAKOTA,METHYLPHENIDATE,1251.93,644.05,893.93,839.58,3629.51
2000,TENNESSEE,METHYLPHENIDATE,752.71,613.49,687.27,758.06,2811.55
2000,GUAM,METHYLPHENIDATE,109.5,81.92,36.3,112.34,340.07
2000,TEXAS,METHYLPHENIDATE,786.41,603.08,671.83,720.09,2781.42
2000,UTAH,METHYLPHENIDATE,821.12,753.65,681.57,736.6,2992.95
2000,VIRGINIA,METHYLPHENIDATE,1035.97,909.36,936.03,1011.92,3893.29
2000,VIRGIN ISLANDS,METHYLPHENIDATE,84.21,75.9,42.78,58.55,261.46
2000,VERMONT,METHYLPHENIDATE,1257.69,1180.97,1155.33,1239.24,4833.25
2000,WASHINGTON,METHYLPHENIDATE,863.51,724.54,753.19,761.13,3102.38
2000,WISCONSIN,METHYLPHENIDATE,950.88,852.34,797.26,925.39,3525.89
2000,WEST VIRGINIA,METHYLPHENIDATE,758.81,635.17,716.86,709.96,2820.81
2000,WYOMING,METHYLPHENIDATE,805.05,525.95,613.46,643.2,2587.67
2000,UNITED STATES,METHYLPHENIDATE,813.81,682.84,713.7,779.63,2990.0
2000,ALASKA,OXYCODONE,2644.49,2522.22,2967.67,3530.28,11664.68
2000,ALABAMA,OXYCODONE,1317.06,1555.66,1754.73,2116.54,6743.99
2000,ARKANSAS,OXYCODONE,1026.29,1083.81,1157.51,1292.57,4560.2
2000,ARIZONA,OXYCODONE,1847.57,2015.48,2088.87,2238.96,8190.9
2000,CALIFORNIA,OXYCODONE,588.98,638.74,636.52,708.2,2572.46
2000,COLORADO,OXYCODONE,1144.04,1051.16,1255.54,1310.91,4761.66
2000,CONNECTICUT,OXYCODONE,2061.45,2494.02,2677.68,3080.39,10313.55
2000,DISTRICT OF COLUMBIA,OXYCODONE,1326.17,1478.72,1546.11,1709.85,6060.86
2000,DELAWARE,OXYCODONE,2172.27,2594.77,2878.9,2796.93,10442.89
2000,FLORIDA,OXYCODONE,2245.7,2419.4,2657.09,3053.42,10375.63
2000,GEORGIA,OXYCODONE,1199.63,1311.39,1456.62,1621.97,5589.62
2000,HAWAII,OXYCODONE,1039.53,1009.05,1158.03,1344.12,4550.74
2000,IOWA,OXYCODONE,573.61,623.92,696.28,811.11,2704.94
2000,IDAHO,OXYCODONE,764.45,788.24,829.51,922.08,3304.29
2000,ILLINOIS,OXYCODONE,313.47,374.77,434.85,487.8,1610.91
2000,INDIANA,OXYCODONE,1021.11,1152.99,1322.29,1472.07,4968.48
2000,KANSAS,OXYCODONE,803.68,818.93,945.48,1081.24,3649.34
2000,KENTUCKY,OXYCODONE,1668.73,1941.95,2155.15,2443.68,8209.52
2000,LOUISIANA,OXYCODONE,1045.9,1257.8,1372.12,1542.99,5218.82
2000,MASSACHUSETTS,OXYCODONE,1922.07,2171.0,2324.8,2646.19,9064.08
2000,MARYLAND,OXYCODONE,1960.4,2217.65,2419.32,2338.91,8936.29
2000,MAINE,OXYCODONE,2334.42,2440.07,2593.94,2821.17,10189.61
2000,MICHIGAN,OXYCODONE,962.84,1042.8,1157.59,1283.67,4446.92
2000,MINNESOTA,OXYCODONE,801.13,806.44,920.74,1056.97,3585.3
2000,MISSOURI,OXYCODONE,1653.09,1854.13,2348.84,2939.18,8795.25
2000,MISSISSIPPI,OXYCODONE,962.19,1072.1,1242.97,1526.82,4804.09
2000,MONTANA,OXYCODONE,1279.53,1374.56,1562.8,1436.56,5653.46
2000,NEBRASKA,OXYCODONE,804.11,796.54,947.98,1034.07,3582.71
2000,NORTH CAROLINA,OXYCODONE,1498.3,1672.52,1843.9,2061.67,7076.41
2000,NORTH DAKOTA,OXYCODONE,703.25,663.0,832.31,845.25,3043.83
2000,NEW HAMPSHIRE,OXYCODONE,2170.07,2440.86,2623.48,2855.08,10089.51
2000,NEW JERSEY,OXYCODONE,1360.01,1612.1,1786.63,1814.12,6572.88
2000,NEW MEXICO,OXYCODONE,1131.88,1126.17,1306.47,1361.69,4926.23
2000,NEVADA,OXYCODONE,1762.99,1933.58,2016.16,2151.32,7864.07
2000,NEW YORK,OXYCODONE,612.44,719.54,785.43,824.71,2942.13
2000,OHIO,OXYCODONE,1605.85,1810.47,2044.26,2196.09,7656.69
2000,OKLAHOMA,OXYCODONE,1017.77,1105.13,1234.84,1255.59,4613.35
2000,OREGON,OXYCODONE,1492.25,1553.59,1810.93,1866.05,6722.84
2000,PENNSYLVANIA,OXYCODONE,1983.65,2186.09,2470.59,2376.18,9016.52
2000,PUERTO RICO,OXYCODONE,222.16,237.91,258.15,271.3,989.53
2000,RHODE ISLAND,OXYCODONE,1359.82,1630.72,1914.16,2156.41,7061.13
2000,SOUTH CAROLINA,OXYCODONE,1509.99,1763.16,2064.12,2375.52,7712.8
2000,SOUTH DAKOTA,OXYCODONE,701.8,626.49,838.4,808.0,2974.7
2000,TENNESSEE,OXYCODONE,1053.46,1233.12,1433.95,1770.74,5491.28
2000,GUAM,OXYCODONE,161.04,100.81,85.66,138.34,485.86
2000,TEXAS,OXYCODONE,539.5,589.28,648.36,718.38,2495.53
2000,UTAH,OXYCODONE,1073.51,1214.66,1268.67,1380.93,4937.78
2000,VIRGINIA,OXYCODONE,1428.51,1577.89,1742.34,1901.19,6649.95
2000,VIRGIN ISLANDS,OXYCODONE,127.65,122.64,140.01,136.58,526.9
2000,VERMONT,OXYCODONE,1624.59,1781.03,1933.24,2044.58,7383.45
2000,WASHINGTON,OXYCODONE,1733.02,1678.91,1987.83,1899.34,7299.12
2000,WISCONSIN,OXYCODONE,1136.19,1272.27,1322.02,1568.67,5299.16
2000,WEST VIRGINIA,OXYCODONE,2237.34,2571.85,2898.36,3031.31,10738.88
2000,WYOMING,OXYCODONE,863.31,769.81,1005.46,989.34,3627.92
2000,UNITED STATES,OXYCODONE,1179.12,1303.05,1446.2,1582.31,5510.69
2000,ALASKA,HYDROCODONE,1000.3,933.95,1107.36,1194.65,4236.27
2000,ALABAMA,HYDROCODONE,2663.23,2485.07,2509.76,3037.52,10695.59
2000,ARKANSAS,HYDROCODONE,1513.6,1519.13,1564.57,2082.28,6679.6
2000,ARIZONA,HYDROCODONE,1078.17,1045.76,1111.57,1193.67,4429.18
2000,CALIFORNIA,HYDROCODONE,1342.83,1415.15,1371.52,1629.9,5759.42
2000,COLORADO,HYDROCODONE,951.69,866.4,1024.15,1080.08,3922.34
2000,CONNECTICUT,HYDROCODONE,748.85,725.1,742.78,800.63,3017.38
2000,DISTRICT OF COLUMBIA,HYDROCODONE,340.25,336.52,378.7,349.26,1404.75
2000,DELAWARE,HYDROCODONE,730.13,700.96,746.15,729.91,2907.16
2000,FLORIDA,HYDROCODONE,1698.92,1592.46,1540.74,1667.84,6499.98
2000,GEORGIA,HYDROCODONE,1511.25,1361.38,1442.4,1772.43,6087.47
2000,HAWAII,HYDROCODONE,705.57,577.87,595.27,733.87,2612.6
2000,IOWA,HYDROCODONE,646.07,661.56,704.75,852.95,2865.34
2000,IDAHO,HYDROCODONE,1499.27,1464.17,1562.48,1570.36,6096.28
2000,ILLINOIS,HYDROCODONE,855.78,873.21,885.19,1020.74,3634.94
2000,INDIANA,HYDROCODONE,1682.33,1616.67,1703.53,1938.81,6941.36
2000,KANSAS,HYDROCODONE,963.19,994.62,1074.17,1238.46,4270.44
2000,KENTUCKY,HYDROCODONE,2209.63,2281.12,2411.14,2960.27,9862.16
2000,LOUISIANA,HYDROCODONE,2097.39,2077.24,2085.1,2330.2,8589.94
2000,MASSACHUSETTS,HYDROCODONE,587.44,573.01,572.99,635.44,2368.89
2000,MARYLAND,HYDROCODONE,641.29,669.3,677.05,578.61,2566.27
2000,MAINE,HYDROCODONE,816.85,808.13,822.28,904.98,3352.25
2000,MICHIGAN,HYDROCODONE,1262.56,1316.61,1391.16,1501.02,5471.37
2000,MINNESOTA,HYDROCODONE,378.17,397.85,431.37,506.83,1714.23
2000,MISSOURI,HYDROCODONE,1013.45,1021.42,1062.7,1265.14,4362.72
2000,MISSISSIPPI,HYDROCODONE,1608.98,1370.96,1423.32,1875.68,6278.95
2000,MONTANA,HYDROCODONE,1061.37,1086.96,1157.96,1102.36,4408.66
2000,NEBRASKA,HYDROCODONE,801.7,801.33,830.68,988.58,3422.3
2000,NORTH CAROLINA,HYDROCODONE,1404.01,1294.19,1346.46,1529.82,5574.49
2000,NORTH DAKOTA,HYDROCODONE,418.66,406.73,486.21,562.73,1874.35
2000,NEW HAMPSHIRE,HYDROCODONE,597.44,586.15,600.11,664.11,2447.83
2000,NEW JERSEY,HYDROCODONE,625.37,587.95,608.55,689.96,2511.84
2000,NEW MEXICO,HYDROCODONE,911.96,852.59,966.79,1143.45,3874.8
2000,NEVADA,HYDROCODONE,2529.19,2663.0,2470.83,2507.82,10170.85
2000,NEW YORK,HYDROCODONE,706.37,762.99,845.84,899.86,3215.08
2000,OHIO,HYDROCODONE,1048.24,1019.13,1085.49,1259.71,4412.58
2000,OKLAHOMA,HYDROCODONE,2084.77,1962.52,2018.67,2527.29,8593.26
2000,OREGON,HYDROCODONE,1438.09,1448.55,1638.03,1560.72,6085.41
2000,PENNSYLVANIA,HYDROCODONE,878.36,866.32,898.18,929.89,3572.76
2000,PUERTO RICO,HYDROCODONE,291.6,226.18,173.04,223.81,914.64
2000,RHODE ISLAND,HYDROCODONE,1174.01,1177.92,1211.98,1359.81,4923.74
2000,SOUTH CAROLINA,HYDROCODONE,1596.84,1478.29,1568.19,1757.85,6401.19
2000,SOUTH DAKOTA,HYDROCODONE,502.61,454.17,530.65,569.9,2057.34
2000,TENNESSEE,HYDROCODONE,1952.72,1914.75,1993.02,2456.66,8317.16
2000,GUAM,HYDROCODONE,59.01,62.77,49.42,45.05,216.26
2000,TEXAS,HYDROCODONE,1766.98,1709.41,1756.15,1954.96,7187.51
2000,UTAH,HYDROCODONE,1395.25,1401.06,1454.02,1506.59,5756.94
2000,VIRGINIA,HYDROCODONE,986.57,924.83,980.14,1133.86,4025.41
2000,VIRGIN ISLANDS,HYDROCODONE,308.63,288.07,249.05,311.94,1157.71
2000,VERMONT,HYDROCODONE,515.57,502.38,511.27,588.01,2117.23
2000,WASHINGTON,HYDROCODONE,1180.18,1134.24,1243.32,1209.86,4767.61
2000,WISCONSIN,HYDROCODONE,687.52,705.93,728.19,878.1,2999.77
2000,WEST VIRGINIA,HYDROCODONE,1812.25,1986.09,2142.6,2372.02,8312.96
2000,WYOMING,HYDROCODONE,902.57,802.33,981.37,989.79,3676.07
2000,UNITED STATES,HYDROCODONE,1224.89,1206.3,1243.0,1409.02,5083.23
2001,ALASKA,DL-AMPHETAMINE BASE,111.64,114.43,107.87,155.23,489.19
2001,ALABAMA,DL-AMPHETAMINE BASE,208.01,190.75,188.96,258.68,846.42
2001,ARKANSAS,DL-AMPHETAMINE BASE,212.77,184.03,174.77,223.07,794.65
2001,ARIZONA,DL-AMPHETAMINE BASE,159.13,156.84,147.69,192.1,655.79
2001,CALIFORNIA,DL-AMPHETAMINE BASE,67.8,70.93,58.96,85.09,282.79
2001,COLORADO,DL-AMPHETAMINE BASE,85.16,87.29,83.12,118.61,374.19
2001,CONNECTICUT,DL-AMPHETAMINE BASE,116.09,111.67,100.75,137.46,465.98
2001,DISTRICT OF COLUMBIA,DL-AMPHETAMINE BASE,92.04,82.93,79.57,107.19,361.74
2001,DELAWARE,DL-AMPHETAMINE BASE,295.37,284.8,228.34,331.77,1140.3
2001,FLORIDA,DL-AMPHETAMINE BASE,155.71,147.61,135.04,190.97,629.35
2001,GEORGIA,DL-AMPHETAMINE BASE,177.06,166.03,165.54,220.72,729.37
2001,HAWAII,DL-AMPHETAMINE BASE,25.51,20.4,13.38,23.59,82.9
2001,IOWA,DL-AMPHETAMINE BASE,136.37,132.73,114.99,165.91,550.02
2001,IDAHO,DL-AMPHETAMINE BASE,100.55,92.17,81.91,109.26,383.89
2001,ILLINOIS,DL-AMPHETAMINE BASE,103.29,96.18,93.06,131.73,424.27
2001,INDIANA,DL-AMPHETAMINE BASE,189.19,169.03,167.25,218.08,743.57
2001,KANSAS,DL-AMPHETAMINE BASE,166.5,164.02,151.29,203.84,685.66
2001,KENTUCKY,DL-AMPHETAMINE BASE,162.58,144.0,149.09,192.59,648.27
2001,LOUISIANA,DL-AMPHETAMINE BASE,207.2,176.28,181.95,260.0,825.45
2001,MASSACHUSETTS,DL-AMPHETAMINE BASE,156.79,156.46,136.48,195.75,645.49
2001,MARYLAND,DL-AMPHETAMINE BASE,162.86,141.97,126.38,173.98,605.22
2001,MAINE,DL-AMPHETAMINE BASE,110.2,120.42,110.91,162.11,503.66
2001,MICHIGAN,DL-AMPHETAMINE BASE,142.06,132.37,119.99,165.2,559.64
2001,MINNESOTA,DL-AMPHETAMINE BASE,161.29,160.54,147.4,203.95,673.2
2001,MISSOURI,DL-AMPHETAMINE BASE,203.87,190.69,177.58,240.53,812.68
2001,MISSISSIPPI,DL-AMPHETAMINE BASE,143.88,123.86,117.13,172.88,557.77
2001,MONTANA,DL-AMPHETAMINE BASE,107.91,98.83,84.54,118.66,409.95
2001,NEBRASKA,DL-AMPHETAMINE BASE,171.87,156.21,151.54,210.03,689.66
2001,NORTH CAROLINA,DL-AMPHETAMINE BASE,175.13,151.95,149.76,202.23,679.08
2001,NORTH DAKOTA,DL-AMPHETAMINE BASE,86.51,72.03,65.62,98.26,322.44
2001,NEW HAMPSHIRE,DL-AMPHETAMINE BASE,177.06,171.83,152.71,215.63,717.24
2001,NEW JERSEY,DL-AMPHETAMINE BASE,106.48,100.07,82.98,121.26,410.8
2001,NEW MEXICO,DL-AMPHETAMINE BASE,95.91,86.47,96.61,122.66,401.66
